情感值,Likert量值,句平均情感值,Likert量值,内容
26.2,3,26.2,3,价格还比较实惠，物流也很给力，五星好评。
9,1,9,1,效果挺好的
8.4,1,8.4,1,东西很好就是太小
0,0,0,0,没什么感觉
6,1,6,1,好
9,1,9,1,给弟弟买的，应该还不错
-4.4,0,-4.4,0,刚拿到手还没有用，不知道效果如何！
0,0,0,0,第二次购买！
6,1,6,1,用了好几次了，可以啊。
93,3,46.5,3,包装还好，再封个膜就好，味道纯洁。哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
8.4,1,8.4,1,很好
-11.2,-1,-11.2,-1,还没用，不知道好不好
0,0,0,0,你。你们的话就算了。你
15,1,15,1,连着三次买了，孩子说有效果，给个赞
6,1,6,1,还行吧
-11,-1,-5.5,-1,一口气买了三盒，一盒家里爸妈用，一个我哥一盒我的。真袖珍，还那贵，摸着感觉也不经用。
12.6,1,6.3,1,这个是秒杀的！划算了很多，先用用看，包装完整，还有送小礼物！！！
0,0,0,0,正在使用中，过些日子再追加
9,1,9,1,看着还不错，用用看
12,1,12,1,赚京豆赚京豆
7.8,1,7.8,1,还行，有点效果
8,1,8,1,宝贝刚收到，等用了再评价
-2.4,0,-2.4,0,用了一次，没有效果，不如沐浴乳那！
3.4,0,3.4,0,还没用，不知道怎么样，物流速度有待提高。
0,0,0,0,试试用着
9,1,9,1,不错
-21.8,-2,-10.9,-1,快递服务太差，对这次购物非常不满意。东西还没用，差评。
23.2,2,23.2,2,味道淡淡的挺好闻的，快递员很热心提前通知你收货
5.6,1,5.6,1,物流速度很快，待使用。
-3,0,-3,0,一般，，，，，，，
10.8,1,10.8,1,一直在用，真的不错
17,2,17,2,秒杀的，不错的，还有赠品。
13.5,1,13.5,1,非常不错  还有小礼品
-4,0,-4,0,买了，不是自己用的，不知道效果怎样
7.7,1,7.7,1,个人感觉还是有效果的！
17,2,17,2,外观挺不错，还没有用，挺喜欢的
4,0,4,0,好用
9,1,9,1,单价39，领了张店铺10块优惠券，两块到手68
21,2,21,2,感觉不错，淡淡的药味儿，用段时间看看效果，满意。
-3,0,-3,0,一般吧
-5.2,-1,-5.2,-1,虽然是特价，但分量也太少了，用了几次感觉就一肥皂。
24,2,24,2,好好好好
45,3,45,3,不错不错不错不错不错，
35.2,3,35.2,3,非常好用效果一流我很喜欢
9,1,9,1,用了几次感觉不错的
0,0,0,0,还可以
3.71,0,3.71,0,效果不是很好，解决不了问题
18,2,18,2,好好好。。。。。。。。。
9,1,9,1,儿子有痘痘，所以买的，用了感觉不错，下次还会买的
0,0,0,0,东西不咋的哦！
7,1,7,1,给媳妇买的   媳妇背上有痘痘    希望会有作用吧
3,0,3,0,看看效果
6,1,6,1,还行吧
0,0,0,0,。
14.8,1,14.8,1,商品还行，功效有待验证，相信品牌吧！
25,2,25,2,不错的我之前买过有效果，今天又买了，不错
0,0,0,0,这个东西在活动期间购买非常划算啊，我就一次买了俩
0,0,0,0,很好很赞??……………………………………好
0,0,0,0,就是物流太慢了看上去不怎样子
15,1,15,1,还好吧，用起来感觉挺不错的~
16.4,2,16.4,2,很好的产品，下次还买，给个点赞。
15.9,2,15.9,2,用了好多，但是作用不大，还是给好评吧！
12.3,1,12.3,1,东西不错，去污能力强！
6.9,1,3.45,0,厂家太小气了~价格是普通香皂的10倍，体积是普通香皂的1/2。。。。。金包卵！
0,0,0,0,............
9,1,9,1,抢购的 便宜 啊 应该不错啊
0,0,0,0,用了一段时间，没变化。
21,2,21,2,淡淡的药香味，期待效果呢。
6,1,6,1,还好
-4,0,-4,0,还没用，不知道效果
11,1,11,1,快用了一半，感觉挺有效果
9.9,1,9.9,1,不错！
6,1,6,1,好。。。。。。。。。
17.76,2,17.76,2,确实很有效果，用了三次，背上的红疹都好了，用完了再来买。
0,0,0,0,还在使用中
44.2,3,22.1,2,用掉了一块才来评价，真的不错，泡沫丰富，洗完后皮肤很舒服。包装也很高大上。
9,1,4.5,0,刚试用…挺不错的。
2.2,0,2.2,0,感觉一般～也有点药味～用过后没什么感觉～太贵了
13,1,13,1,用了几天，感觉挺好，洗得挺干净
3,0,1.5,0,第二次购买了。效果还可以。
10.8,1,5.4,1,如果谁认为这样的促销对他们利益产生影响，可以把我们库存积压多的产品，打包给他，让他一次赚个够！我们就不会再促销了[难过]
0,0,0,0,药味很重，应该有作用吧。
28.2,3,28.2,3,朋友用的非常好，推荐我买的，一直信赖京东！！
6,1,6,1,好
14,1,14,1,好东西，值得购买
3.6,0,3.6,0,还行，但是感觉不到效果
9,1,9,1,闻起来不错，还没试
1.6,0,1.6,0,挺好用的，暂时还不知效果如何
13.2,1,3.3,0,还可以！味道挺好的！我背上痘痘好多！用用看！
3,0,3,0,用了几次，不连续，效果不是明显，再用后追评。
15,1,15,1,看起来不错，有股清香味，还没用，用后追评。
9.9,1,9.9,1,收到了，感觉还不错！
0,0,0,0,刚收到
14,1,7,1,还没用。希望有效果
-7.7,-1,-7.7,-1,还不错?
-8.4,-1,-8.4,-1,包装很差，感觉不值
18.68,2,18.68,2,货真价实，快递真快！
0,0,0,0,刚买回来  还没有用   但是是谁说有中草药的味道的
8.4,1,8.4,1,很好
7.2,1,7.2,1,没一点效果，洗了一样的痒
0,0,0,0,看来5茉莉花开空调5级
193.6,3,6.68,1,香皂还没开始用！应该效果很好吧！身上有好多痘痘！好烦哦！但愿没买错！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！
9,1,9,1,还好，一段时间后看效果
-3.5,0,-0.7,0,还没用。等用过一段时间在追平。持续关注。另宣传照片太恶心了。先给好平。
4.4,0,2.2,0,秒杀的，发货快！还没有使用，以后再评。
9,1,9,1,已收到，拆开后就问闻到了中药味，感觉不错
0,0,0,0,可以
-1.6,0,-1.6,0,没用呢，不知道
0,0,0,0,夏天一直在使用
6,1,6,1,好
0,0,0,0,副本呢根本不能那你还能不会
16.5,2,5.5,1,不错！每天都在用！包装也挺好！
15.6,2,15.6,2,使用效果不错，最适合夏天使用
8.4,1,8.4,1,产品收到，感觉很好
12.6,1,6.3,1,用了很久，洗的挺干净。物流很快
6,1,3,0,还未使用，不过味道还行。用过了追加评论。
0,0,0,0,2016/4/18
9,1,9,1,味道不错
7.7,1,7.7,1,第一次购买，希望会有效果吧！
-2.4,0,-2.4,0,皮肤不适合，
6,1,6,1,好
0,0,0,0,还没有用
2.2,0,2.2,0,刚发过来  打开一看就那么一丢丢   小太小了  还没用不知道怎么样   味道还可以
0,0,0,0,怎么越用，疙瘩越多了？还是有个过程？
8,1,8,1,活动时买的，价格实惠，至于效果，要用过一段时间再说了
8,1,8,1,第二次买了，我经常用她洗脸挺舒服的
-2.4,0,-2.4,0,没什么效果
14,1,14,1,好香
0,0,0,0,东西收到了，还没有用，有待考证
0,0,0,0,刚到手，用用试试吧~
0,0,0,0,55885555666
0,0,0,0,，，，，，，，
20.4,2,20.4,2,不错 第一次洗的效果很好
35.6,3,35.6,3,用过后效果还好，皮肤也不怎么痒了，商家很贴心，送了一个木质的盛放香皂的架子，很感动
4,0,4,0,货刚到好用的话下次再买。
34.2,3,34.2,3,不错用完评论很不错不错
41.8,3,41.8,3,很好很好，快递速度快，宝贝不错，下次还会来
16,2,16,2,真心好用，用吧。
0,0,0,0,一份价格一分货。。。。。。。。。。。
16,2,16,2,看着挺好的就买了  可是用了几次了感觉没什么变化 后背还是有点痒 希望以后多用几次看效果吧
0,0,0,0,刚到货，用用再说……
0,0,0,0,可以
0,0,0,0,物流速度 东西有待后续考证
0,0,0,0,东西已经在使用中了，还可以
0,0,0,0,总的来说还可以
15,1,15,1,背部痘痘√植物除螨√控油止痒√健康祛痘 季德胜百部提取香皂除螨手工皂固体沐浴露 100g
0,0,0,0,效果一般
4,0,4,0,蛮快，还没用
-2.4,0,-2.4,0,感觉没什么效果呢
0,0,0,0,可以
19.9,2,9.95,1,不错啊！好快
12,1,12,1,用过才来评价的，效果不错
-3.8,0,-3.8,0,快递服务太差了
-2.4,0,-2.4,0,用了几次，也没什么效果，在看看吧。
0,0,0,0,还没试，以后再说。
6,1,6,1,还没怎么用，应该不错吧，就是价格有点小贵 。
-1.76,0,-1.76,0,还没用，不知道怎样！
6,1,6,1,还没用，晚上试试，看着还行
6,1,6,1,好
7,1,7,1,希望有作用
-2.4,0,-2.4,0,用了没什么效果
-2.4,0,-0.8,0,用的时间不长。也没什么效果。 就当普通肥皂用了
66,3,66,3,好好好好好好好好好好好
-3.52,0,-3.52,0,不好用！！！！！！！！！！
0,0,0,0,还没用，用后评
-8.8,-1,-8.8,-1,一般般，没想象中好
-5.4,-1,-2.7,0,就是有点贵了。所以就买的可是买了没有啥效果
-2.4,0,-2.4,0,好像没什么效果
0,0,0,0,正在试用，用了再来评价…
0,0,0,0,送货慢了点
-13.48,-1,-13.48,-1,本来并不抱太大希望，用了半个月还真的有点用，后面和前胸的痘痘少了很多，但是平时饮食也要平淡作息也要规律才行，有活动还会再买
-8,-1,-8,-1,夸大了，是不是发我的是次品
12.6,1,6.3,1,很不错，用一次就不痒痒了！特价买的，超值！
13.24,1,13.24,1,挺好用的，送了两盒雨花，味道很好！
-5,0,-5,0,一点用都没有，骗子
6.6,1,6.6,1,挺好的！
9,1,9,1,不错
13,1,13,1,东西不错，就是快递不到家，还要自己取
21.9,2,21.9,2,第一次用有些感觉没那么痒了，长期坚持体验下效果，总体感觉不错！
9,1,9,1,挺不错的
5.6,1,5.6,1,很好用
7,1,7,1,正在使用中，感觉有效果
0,0,0,0,一次买了三块
-4,0,-4,0,一般般
0,0,0,0,还可以
8.4,1,8.4,1,很好
8,1,8,1,啊  挺香的  用了好像没什么反应呢
7,1,7,1,速度快，用过之后有明显的效果。
0,0,0,0,123456789
0,0,0,0,2016/4/6
8.4,1,8.4,1,好像真的有效，不过用了一个星期就掉厕所了
3,0,3,0,用过一段时间，效果不是很明显，看到说能去螨虫才买的，没什么作用啊
3,0,3,0,挺有效果的，用了一段时间，痘痘的确少了
18.2,2,18.2,2,很好，洗了很干净，毛孔尽情呼吸
0,0,0,0,还可以
9,1,9,1,东东还不错，就是价格高了点
0,0,0,0,还没用呢
14.2,1,14.2,1,肥皂很飘香，效果有明显的变化。
15,1,15,1,第一次使用，包装好，质量也不错，推荐
6,1,3,0,物流非常快……用品给高分
16,2,16,2,用起来没什么感觉，希望久了能出奇迹
-2.31,0,-2.31,0,不太适合我用
0,0,0,0,，
6,1,6,1,还行
6,1,6,1,还好
0,0,0,0,还可以吧！等多用几次在来评价！
0,0,0,0,可以可以可以可以可以可以可以可以可以
6,1,6,1,好
9,1,9,1,还未用，感觉不错
58.3,3,58.3,3,香味不错，很好闻，感谢店主赠送的洗脸网，物流也很快速，态度很好，总的来说好评！
10.8,1,10.8,1,不错，有点效果，不过不明显，还好吧。
0,0,0,0,。。。。。。。。
6,1,6,1,试了一下，的确是好东西，下次还会光临的。
-1.8,0,-1.8,0,效果不好
8,1,8,1,天气渐热，皮肤出油的很厉害，用了以后感觉情况明显好转了。
6,1,6,1,服务超级棒
-15.24,-2,-3.81,0,真的是一次非常不愉快的购物！买了两块肥皂，收到时只有一块，而且没有发货清单。找客服联系了N多次，答复说就是发了两块！最后答应补发一块，但是不得不吐槽一下这个快递，邮政真的是快递中的垃圾，两次送货都告知家里有人，不要你送到家，送到楼下我们自己下来取，快递就是不同意，往小区物业一扔就走了，没 见过这样的！
0.32,0,0.32,0,用了一次，感觉就一个肥皂，不知道有没有效果
0,0,0,0,还可以
9,1,4.5,0,还没用。应该不错。
17,2,17,2,包装很精美，效果怎样还得实验。
0,0,0,0,东西收到，还没使用
-3,0,-3,0,效果不明显
0,0,0,0,好像作用不大，再用用看
-4,0,-2,0,用着还可以不知道效果怎么样？是要长时间用吗？
9,1,9,1,用下来还不错
3.3,0,1.65,0,其他不想说。用了一个月鸟效果没有！！！！！
0,0,0,0,周了后背更痒了
0,0,0,0,。……hhhhhhhhhhhjjjjjjjjj
0,0,0,0,蛮用吧.
10.04,1,2.51,0,用着洗脸。还不错。不干燥！不知道能不能去螨虫在试试
-2.4,0,-2.4,0,在用着，暂没看出效果
-3,0,-3,0,一般
6,1,6,1,还行吧
11.2,1,11.2,1,味道很香，洗完滑滑的不干
-4.16,0,-4.16,0,不能说好也不能说不好总之用用看
18.9,2,9.45,1,不错！。。。。不错。。。。。！！！！
9,1,9,1,还不错
6,1,6,1,还行
0,0,0,0,hgfdchjjvffc
12,1,12,1,效果不错
9.4,1,9.4,1,味道还挺香的，效果还不知道
13.8,1,13.8,1,京东太给力了，服务好，专业
6,1,6,1,好
20,2,20,2,香皂不错除螨有一定的效果，
3,0,3,0,用了几天，不知道效果怎么样，希望有用
11.4,1,11.4,1,去油效果很好
3,0,3,0,用了用感觉效果没感觉，
28.2,3,28.2,3,很好用的肥皂，气味很好，泡沫很丰富，洗完澡非常清爽。
4,0,4,0,8不迫于5组啦梧桐雨图
16,2,16,2,给老公买的，效果还行，活动买的便宜
6,1,6,1,好
-2.4,0,-2.4,0,没看出来效果
20,2,20,2,效果不错，喜欢
98.4,3,98.4,3,很好很强大，相当ok，很不错的好东东很好很强大，相当ok，很不错的好东东
0,0,0,0,感觉没有什么用的，自己参考参考参考一下。
-1.62,0,-1.62,0,效果不是太好
19,2,19,2,用了挺舒服，期待后期效果
0,0,0,0,没用
9,1,9,1,还不错
6,1,6,1,还行吧
15,1,15,1,不错，还好，朋友们可以购买
9,1,9,1,用了两次还不错，用段时间再来追评
-29.1,-3,-9.7,-1,买来后洗了2次脸（由于脸上的皮肤有很多黑点）结果第二天脸上有大面积的刺痛感，同时出现了很多粉刺，我不知道是产品的问题还是个人的问题，对于此产品我只能给个差评！！！希望商家能体谅！（因为用过之后带来的刺痛感，没人能给我买单）
7,1,7,1,有效果，还可以?
12.6,1,12.6,1,第一次用这个药皂，感觉很不错，后来做活动的时候又买了几块。
15,1,15,1,背部痘痘√植物除螨√控油止痒√健康祛痘 季德胜百部提取香皂除螨手工皂固体沐浴露 100g
5.6,1,2.8,0,很好用…建议购买
9,1,9,1,还不错……
9,1,9,1,不错，不是第一次买了，下次再来。
-2.4,0,-2.4,0,没有什么效果
-3.3,0,-3.3,0,好像效果不明显！
6,1,6,1,还行
5.6,1,5.6,1,很好用、准备在次够用
-21.6,-2,-21.6,-2,价格虚高，没有实际效果，过于虚假夸大效果，其实就是普通的肥皂
-2.4,0,-2.4,0,没有什么效果
35.4,3,8.85,1,特意用久一点看看效果再来评价。去螨虫？那算了，效果看不见。不过当香皂用还挺好，也对，本来就是香皂，香皂只管香皂的用途。。。。
0,0,0,0,还可以
8.4,1,8.4,1,特价很好
6,1,6,1,好啊
9,1,9,1,好评，有药味。
0,0,0,0,可以可以可以
20.6,2,20.6,2,用了 很好用 用了身上痒好多了 不错
0,0,0,0,hhhhhh
9,1,9,1,正在使用中，感觉还不错
0,0,0,0,洗完之后太干了
6,1,6,1,好
7,1,7,1,还可以，我老公背上好多了
9,1,9,1,看着小小一块，应该不错吧
0,0,0,0,用着还可以
14.8,1,14.8,1,感觉蛮好，洗过之后比较舒服
0,0,0,0,2016/4/29
0,0,0,0,用了一星期了，貌似没什么效果呢？
-8,-1,-8,-1,垃圾，骗人的
6,1,6,1,送货服务挺好的，试用中！
6.6,1,6.6,1,朋友说用着挺好的！
0,0,0,0,可以可以?
10,1,10,1,一般般配合肥东西安排队长的话费用户口袋子女人家里面对了。
-3.3,0,-3.3,0,没有卵用，还卖那么贵，东西份量也好少！
7.3,1,7.3,1,好用，效果明显!
5.5,1,5.5,1,产品好用就是价格太贵，快递不行下次我不会买了，不如京东快递的服务好，太麻烦了，拿个快递让我跑来跑去，让我跑远去取那我在网上买东西我有毛病啊？
13.8,1,13.8,1,效果确实不错
0,0,0,0,是正品，洗了以后，身体不痒痒了，痘痘也少了点了以后还会买的，就是快递慢了点，
-3.9,0,-3.9,0,用了很多次啦，没有一点效果，反而感觉背上的痘痘长得比以前更多了，而且用了之后皮肤瘙痒
0,0,0,0,用了半月了，然而没什么卵用
-8.29,-1,-8.29,-1,有点油腻，效果不太理想
0,0,0,0,一点效果没有，无语，本来看能抑制后背长痘买的，不见效果，，，
0,0,0,0,没有那么大
9,1,9,1,还不错
17,2,17,2,喜欢好评
25.9,3,12.95,1,有点小贵，期待效果。送了个帮助肥皂起泡的网袋，不错！
-15.1,-2,-15.1,-2,使用中，还不知道怎么样，太贵，经常用，买不起呀
2.8,0,0.93,0,用了一次，还行吧，不过这个好像没用，字够了！就这样吧！不好用
0,0,0,0,正在使用中
27.2,3,27.2,3,好像还不错 很好 很满意
0,0,0,0,还没用
-11,-1,-11,-1,嗯无赖去啦佛祖岭来PPTV测温
9,1,9,1,不错。
23.4,2,11.7,1,去油效果不错，洗完后，身上很清爽。除螨效果还待进一步考察。
29,3,14.5,1,特价买的，东西不错，洗的挺舒服的，身上痘痘也好多了。推荐一下。
-2.14,0,-2.14,0,没什么很明显的效果，不值
8.4,1,8.4,1,很好
0,0,0,0,?
0,0,0,0,不怎么滴
0,0,0,0,可以
23,2,23,2,不错，味道好闻，好评
5,0,5,0,用了几次，感觉还不错，额头上的小痘少了，应该是它的功效吧
-3,0,-3,0,一般
102,3,102,3,好好好好好好好好好好好好好好好好好
-1.8,0,-1.8,0,效果不好。
0,0,0,0,还是有点用，下次再买
15,1,15,1,应该不错，感觉洗洗还行
27,3,27,3,商品不错 用起来效果挺好，而且卖家服务不错  就是物流太慢
-28.4,-3,-28.4,-3,基本上没有效果，还死贵死贵，不值，不会再来了。
22,2,22,2,挺不错的，有点小贵，希望效果好
4,0,4,0,肥皂买了给老公用的，背上的情况有所改善。
12,1,12,1,好用赞个
23.6,2,23.6,2,快用完了，跑步后洗澡用，很舒服，味道草药味，很清香
20,2,20,2,感觉不错噢，期待效果
0.4,0,0.2,0,味道香，杀螨虫的效果不知道。碱性大，用完皮肤很干
28,3,28,3,不错不错，用着挺好的，气味也挺好的
0,0,0,0,还可以。正用着呢
7.7,1,3.85,0,有效果！还会买！
16,2,16,2,挺好用的，而且泡沫丰富，香味很自然。
0,0,0,0,刚开始体验
6.6,1,6.6,1,有点小，不过用了一次感觉还好！
9,1,9,1,还不错
32.2,3,32.2,3,很舒服，味道也很不错，洗后很清爽
0,0,0,0,haohaohaohaohao
12.8,1,12.8,1,泡沫丰富，洗后舒服！！！！！！！！！！！！
-4.8,0,-4.8,0,太小了     没用就好就用完了    没什么感觉
8.2,1,4.1,0,使用一星期亲测结果：不知道是皮肤问题还是产品不对，去油去汗倒是很好，洗了很清爽，但对于黑头痘痘根本没用
39,3,13,1,高大上，新家备用。应该不错，一直在这里买东西，京东商城老粉丝，保证品质，性价比高。关键是快。
-4,0,-4,0,用了一次不知道效果
15.3,2,15.3,2,前几次感觉还好，还没再用没什么效果，还有说好的架子没送
4,0,4,0,OK
23.2,2,23.2,2,很香，喜欢，物流快
6,1,6,1,用着好
-2.4,0,-2.4,0,用了两次还没发现效果。。。
20.9,2,20.9,2,老牌子信得过，用了感觉不错！
4.6,0,4.6,0,不错有疗效，用后背部明显痘痘少了！
18,2,18,2,不错，我油性皮肤，挺贴心，
0,0,0,0,用半个月了背上痘痘还是很多
3,0,3,0,这个自己去体会吧，价格贵的很，我还是喜欢上海药皂
9,1,9,1,还没有用，应该不错
9,1,9,1,不错
23.8,2,23.8,2,老公说这个肥皂很不错，用过很舒服
8.4,1,8.4,1,很好
0,0,0,0,还没用，用了再评价
0,0,0,0,！！！！！！
0,0,0,0,12345678910
12,1,12,1,洗后皮肤清，好好。
-3.2,0,-3.2,0,不好用。。。。。
9,1,9,1,不错
15,1,15,1,容易冲洗，洗后感觉不错
3.5,0,3.5,0,习惯好评，平时标那么贵，不打算卖吗
10,1,10,1,好用，去油清爽。。。。。。
0,0,0,0,正在用，暂未发现什么！
11.2,1,11.2,1,洗后很舒服，皮肤滑滑的。
7,1,7,1,活动价，比平时便宜多了，一下子买了三块。
20,2,10,1,还行，就是硫磺味道有点大。 希望更便宜点。
3,0,3,0,效果似乎不大
21.2,2,21.2,2,效果很好满意
10,1,3.33,0,蛮好的。洗澡的时候用了一次，晚上睡觉的时候，后背再也没有痒过。季德胜是老牌子了，话说，季德胜不是做蛇药的么？
8.4,1,8.4,1,味道很好闻是正品
13,1,13,1,不错，皮肤明显改善，
20,2,20,2,包装完整，打开有一股肥皂味，希望有效果吧
9.9,1,9.9,1,好评！
9.9,1,3.3,0,之前用过一次！不错！继续用用看！
3,0,3,0,使用中  效果有待观察
4,0,4,0,用得还不错，就是价格小贵了
24,2,24,2,后阿豪哈哈哈哈哈哈
14,1,14,1,很好用，洗了很清爽。
12,1,12,1,洗完澡特意使用了一下 原来小点点的地方不是那么红了 还得继续坚持使用才能看出效果
10,1,5,0,挺好用的，比中华神皂都好。以后还会买
0,0,0,0,不错??
0,0,0,0,没感觉啊。。。。
-2,0,-2,0,挺好的，就是发的是ems慢到死
0,0,0,0,刚收到，效果未知
15.4,2,15.4,2,用着很好，洗脸也可以，希望能祛痘吧，确实有用
66,3,66,3,好好好好好好好好好好好
5.6,1,5.6,1,不错，效果一般般，没有达到效果
9,1,9,1,还不错
0,0,0,0,??????
14.4,1,14.4,1,很好，味道也好闻
15,1,15,1,不错 味道还行
-1.6,0,-1.6,0,买了三块，用后皮肤发干，不知道咋回事
16.92,2,16.92,2,商品还不错，买后没失望！
12.65,1,6.33,1,马上都用完了，好像不是太耐用，效果不过挺好的！表示推荐！
-4,0,-4,0,才用还不知道效果
8.4,1,8.4,1,很好
0,0,0,0,没感觉
19,2,9.5,1,淡淡的药香…不错的
-1.8,0,-0.9,0,一个字‘贵’，其它的，没任何感觉，好像跟几块钱的一样用。豆豆和其它的东西都没少过。
6,1,6,1,用的不错，价格稍贵了点
-4,0,-4,0,可以说是普通肥皂，一点用都没有，还要几十块，垃圾，建议不要买
31,3,31,3,不错，值得信赖！
16.8,2,16.8,2,东西很好，很实用
12,1,12,1,用了两次，效果不错
3,0,3,0,效果很明显，建议购买，
11.2,1,11.2,1,用了很舒服，
12,1,6,1,给女儿买的，用了两次。效果不错。
39.8,3,39.8,3,宝贝很不错，特地用了几次才来评价的，洗完很舒服，还有淡淡的清香味
6,1,6,1,用了感觉不错，我买了两块，只是价格感觉有点贵，哈
66,3,66,3,好好好好好好好好好好好
-4,0,-4,0,一般般吧
8.4,1,8.4,1,很好
90,3,90,3,好好好好好好好好好好好好好好好
1.8,0,0.9,0,用了一段时间了。还是有点效果
0,0,0,0,小熊（Bear）家用酸奶机 全自动不锈钢内胆 SNJ-310GA
0,0,0,0,！
25.6,3,25.6,3,前段时间太忙，评价迟了，东东不错，已经用过好多次了，很管用，以前我的背部总是长痘痘，用其他药也不起作用，用完还会来。
6,1,6,1,还可以 脓包现在都变疙瘩了 有好的迹象
-8.4,-1,-2.8,0,一般；一般；没明显效果
6,1,3,0,第一次用，用了两次才来评价！感觉还行，可以洗澡洗脸用
-7.27,-1,-7.27,-1,没得那么神奇，想到做生意也不容易，还是好评吧
6,1,6,1,还行
42,3,42,3,好好好好好好好
-4,0,-4,0,效果一般般，价格有点贵
40.54,3,20.27,2,颜色很好，能很好的保护皮肤，效果很好啊！是正品行货！
7,1,7,1,好看
0,0,0,0,还没用，待评吧。
0,0,0,0,然并卵然并卵然并卵！！
-6.6,-1,-6.6,-1,味儿挺好闻的，不知道好不好用，只是小贵~
6,1,6,1,好就一个字 我只说一次??
8.4,1,8.4,1,很好，用的还可以
0,0,0,0,1.11111E+19
3.3,0,1.65,0,用了两三次了感觉还可以！再多用几次看看效果！
6,1,6,1,好
0,0,0,0,用过两次，目前感觉不是很明显，准备长期用用试试，以后再追评
9.9,1,9.9,1,不错！
0,0,0,0,在用
4,0,4,0,好用，一直在用，买了十几盒了？
10.56,1,5.28,1,开始挺信任的！现在用了没什么效果！
27.12,3,9.04,1,太好用啦！洗浴用后身体很舒适。点赞！
20.3,2,20.3,2,味香、去污能力强，止痒好，其他有待进一步效果！
9,1,9,1,洗完感觉不错
-5.6,-1,-5.6,-1,怎么感觉洁面不干净呢
0,0,0,0,用了两次还可以很控油
9,1,9,1,不错，中药的
6,1,6,1,挺好的
10.4,1,10.4,1,还没试用，真心不知道会怎样
-10.28,-1,-2.57,0,商家把消费者当什么？成本不足5元唬谁呢？（什么中药、祖传秘方就编吧，我也懒的说）洗衣服都不行更别说洗脸啦！最后预祝商家＂早点休息＂。
0,0,0,0,还可以好像
-5.4,-1,-5.4,-1,一般 没效果
0,0,0,0,好像有感觉
-3.2,0,-3.2,0,不好用。
15,1,15,1,东西不错，味道正好
0,0,0,0,棒棒哒！必须是五星哦?
0,0,0,0,送货太慢
8,1,8,1,可以，舒服
6,1,2,0,9.9包邮你信吗…………没啥感觉
-1.8,0,-1.8,0,用了几天没感觉，效果不好
8.4,1,8.4,1,真的有效果，背上痘痘都没了
-1,0,-1,0,感觉一般般吧，效果不是很明显
-2.4,0,-2.4,0,用了几天，没什么效果
23,2,23,2,好香质量不错
-2.4,0,-2.4,0,没感觉到有什么效果啊
0,0,0,0,，。。
10,1,10,1,用了两次才来评价，效果一般般，包装挺精致的。
6,1,6,1,好
9.9,1,9.9,1,物流有点慢，不过还可以，好评!
0,0,0,0,还可以
9,1,9,1,包装好，不错了
0,0,0,0,一个字来形容：坑！一颗星都不想给，建议大家不要买！
11,1,11,1,洗脸后感觉也不干，期待效果
23.4,2,23.4,2,好很好非常好
-4,0,-4,0,一般般
-3.2,0,-3.2,0,不好用 用完身上掉皮
9,1,9,1,包装看上去不错 用过后再评价
12.8,1,12.8,1,过了几天才来评价用起来有点效果
8.4,1,8.4,1,很好
16,2,16,2,真心挺好用
6,1,6,1,好
9,1,9,1,包装也不错，看功效
15,1,15,1,看推荐买的，味儿不错，用后追评
-0.3,0,-0.3,0,用了一个多礼拜了 ，每天都洗基本没什么效果，现在来评价就输想告诉大家，别报太大希望。
-7.92,-1,-2.64,0,味道太重…没有明显效果！而且不实用！
12,1,6,1,去痘还行。实用
16,2,16,2,感觉不错，希望有用吧
6,1,3,0,用了一个星期，觉得这个价格还行。再用一段时间看看
0,0,0,0,实物比想象的小！
8.4,1,8.4,1,很好
9,1,9,1,不错
8,1,8,1,买回来就开始使用了，感觉味道挺香的。
10.4,1,10.4,1,手工皂很好，淡淡的草药味
0,0,0,0,用可以
8.4,1,8.4,1,好用，洗脸也比较好用
39.2,3,19.6,2,有一股药香味，希望有效果。店家送的小礼物很喜欢，尤其是那个小纱网。
0,0,0,0,还可以吧！！！
32.6,3,16.3,2,物流很快，今天才评价。感觉不错，希望有用
9,1,9,1,用着还行，效果得满满观察
0,0,0,0,味道挺大
6,1,6,1,挺好
15,1,15,1,支持京东孩子正在使用中，不错的
11,1,5.5,1,特意用了一阵子才来评价的，感觉还不错。可以接受。
-5,0,-5,0,只有傻瓜才会找中国邮政，你看箱子都变形了，又还慢10天都送不到。
0,0,0,0,dfychjbjjhbjjnbbhjjj
9,1,9,1,不错
5.76,1,5.76,1,味道不好用起来还可以没什么就洗了一次也不知道好不好
-4,0,-2,0,第一次买不知道效果怎么样。试试之后再看吧。
11,1,11,1,希望好用
22.6,2,22.6,2,很不错的产品，效果需要长期使用还是有效果。
6,1,6,1,好
20,2,20,2,好实用，价格实惠40
0,0,0,0,没什么卵用
-3,0,-3,0,一般
12,1,4,0,好用。不多说。赞
8,1,8,1,味道好闻，效果用了再说
0,0,0,0,香皂还是可以的，就是送的网不怎么样，大小不合
-2.4,0,-2.4,0,没看出啥效果
-5.45,-1,-2.73,0,没有说得那么好。物流（EMS）也很慢。
24,2,24,2,哈哈哈哈哈哈十个字还可以吧
0,0,0,0,没有木头底座
5.6,1,5.6,1,用了很好用，
6,1,6,1,还行。。。。。。。。。。。？？？？？
